,Station Name,Station ID,Number of Customers,Average Trip Duration (min),Latitude,Longitude,Year
95,Duane St & Greenwich St,276.0,16349,821.7471404978897,40.717487519999175,-74.01045539998925,2014
96,Duffield St & Willoughby St,390.0,6683,850.1958701182103,40.69221589000472,-73.98428440000568,2014
97,E 10 St & 5 Ave,280.0,29195,696.1247816406919,40.73331966998241,-73.99510132003849,2014
98,E 10 St & Avenue A,445.0,41006,797.6192996146906,40.72740793997888,-73.98142006002531,2014
99,E 11 St & 1 Ave,326.0,31408,729.0928425878757,40.729538369999965,-73.9842672599609,2014
100,E 11 St & 2 Ave,237.0,39065,734.3565595801869,40.73047308997849,-73.98672378002959,2014
101,E 11 St & Broadway,357.0,24295,688.6840502160939,40.7326178699808,-73.9915804299687,2014
102,E 12 St & 3 Ave,483.0,37538,666.6108210346848,40.73223271997152,-73.98889956996734,2014
103,E 13 St & Avenue A,433.0,33827,762.402843882106,40.729553610014456,-73.98057249001911,2014
104,E 14 St & Avenue B,511.0,30908,789.195774556749,40.72938685002133,-73.97772428998806,2014
105,E 15 St & 3 Ave,297.0,29743,938.5930471035201,40.73423199999491,-73.98692300002146,2014
106,E 16 St & 5 Ave,496.0,38808,755.4512729334158,40.73726185999175,-73.9923896700655,2014
107,E 16 St & Irving Pl,475.0,26953,709.8109672392684,40.735242760019226,-73.98758561001068,2014
108,E 17 St & Broadway,497.0,80166,736.5855350148443,40.737049839954835,-73.99009296010883,2014
109,E 19 St & 3 Ave,325.0,28236,721.6436109930585,40.73624526999317,-73.98473765002204,2014
110,E 2 St & 2 Ave,403.0,26716,740.4843539452014,40.725028760011575,-73.99069655995395,2014
111,E 2 St & Avenue B,301.0,27309,783.0450767146363,40.72217444001916,-73.98368779005051,2014
112,E 2 St & Avenue C,150.0,17947,805.1827046303003,40.72087359999087,-73.98085795000601,2014
113,E 20 St & 2 Ave,461.0,36533,746.8585662277941,40.735876780003224,-73.98205026998679,2014
114,E 20 St & FDR Drive,487.0,24989,871.2264196246348,40.733142590010964,-73.97573880997165,2014
115,E 20 St & Park Ave,503.0,25845,673.2155155736119,40.7382742799874,-73.98751968004078,2014
116,E 23 St & 1 Ave,545.0,34105,798.3353760445682,40.73650199998437,-73.97809471999803,2014
117,E 24 St & Park Ave S,491.0,32234,688.8415958304895,40.740963740022664,-73.98602212996684,2014
118,E 25 St & 1 Ave,174.0,23608,803.7340731955269,40.738176499984746,-73.97738661996456,2014
119,E 25 St & 2 Ave,507.0,30684,746.7313257723895,40.73912601000643,-73.97973776002321,2014
