,gender,average trip duration,average birth year,count,percentage,year,month
123,female,1026.1766017948776,1979.9957682137526,401253,23.17246421505272,2017,June
124,male,929.2612060816482,1978.4978832501122,1131930,65.36924937369845,2017,June
125,unknown,1986.2050843955224,1977.8918016363332,198411,11.458286411248826,2017,June
126,female,1017.3720927332982,1980.709039766394,401021,23.10562520490044,2017,July
127,male,901.6856994462354,1979.1866693591007,1099384,63.34320312468491,2017,July
128,unknown,1873.761022815208,1979.1482826448782,235194,13.551171670414652,2017,July
129,female,1170.999377345313,1980.9625176083432,422385,23.252709334114325,2017,August
130,male,998.7216799152503,1979.3201803454756,1162011,63.96984747574729,2017,August
131,unknown,1922.2782225056226,1980.094665766374,232102,12.777443190138388,2017,August
132,female,993.322068664271,1980.5419852656416,444132,23.647967251975135,2017,September
133,male,865.2933975859319,1979.1656602479088,1218524,64.88074637212755,2017,September
134,unknown,1750.2797272583805,1979.7836213373403,215442,11.471286375897318,2017,September
135,female,1126.9106302554294,1980.4939237899073,441805,23.282402118052776,2017,October
136,male,924.4418649997682,1979.1541734327252,1251346,65.94389099448142,2017,October
137,unknown,1817.7161185867806,1979.7769491525423,204441,10.7737068874658,2017,October
138,female,953.3584714003945,1979.6549756052657,304200,22.861024958497694,2017,November
139,male,779.8819911746409,1978.5265690724973,930727,69.94534246070903,2017,November
140,unknown,1797.084943900044,1978.7042868277474,95722,7.193632580793283,2017,November
141,female,810.080076179916,1978.9590983774901,194802,21.88867677116118,2017,December
142,male,704.1493151694119,1977.8592058592856,651548,73.21035499069066,2017,December
143,unknown,1472.589403214343,1976.726453143535,43617,4.900968238148156,2017,December
144,female,831.2346152325995,1978.815224694676,151806,21.11366715160349,2018,January
145,male,733.0991910176733,1977.902622635508,537589,74.76960864763824,2018,January
146,unknown,2506.1467279299977,1969.9020575019426,29599,4.116724200758282,2018,January
147,female,885.6274756435294,1979.1239780212507,181266,21.499583686191905,2018,February
148,male,788.9372721146315,1978.2248077600445,621749,73.7443572280854,2018,February
149,unknown,2211.807052544951,1969.8786004638519,40099,4.75605908572269,2018,February
150,female,1012.4331341360779,1979.2908687413899,212687,21.776707021395104,2018,March
151,male,717.4935255710408,1978.3431411762863,702533,71.93131368565906,2018,March
152,unknown,2311.1424526459678,1969.7117913168001,61452,6.2919792929458405,2018,March
153,female,1049.9591226219243,1980.2073920294047,293830,22.471918705541615,2018,April
154,male,801.8376728856057,1978.9864825698958,890184,68.08066732795785,2018,April
155,unknown,2001.2346655441233,1969.5444065765932,123529,9.447413966500529,2018,April
156,female,1085.237396274424,1980.5189079619468,421304,23.088819593250435,2018,May
157,male,955.2908276680157,1979.1612223130446,1203816,65.97300392939151,2018,May
158,unknown,2204.312706047397,1969.5096898642216,199590,10.938176477358045,2018,May
159,female,1228.4991310718485,1980.9765368101819,469544,24.040923596963395,2018,June
160,male,1006.4134368457019,1979.5624381780908,1281908,65.6344289062072,2018,June
161,unknown,2473.9181705025017,1969.5631511869517,201651,10.324647496829405,2018,June
162,female,1049.732231972347,1981.5949456742542,460279,24.052727153961722,2018,July
163,male,883.3556214417816,1980.0622158052902,1242546,64.93153047227122,2018,July
164,unknown,2255.6671157495257,1969.5706214421252,210800,11.015742373767065,2018,July
165,female,1005.5677192761076,1981.8562877903614,475485,24.048681529271278,2018,August
166,male,866.8907778374341,1980.3557839470745,1296312,65.5637810878844,2018,August
167,unknown,1942.8009981497712,1969.652327393125,205380,10.387537382844329,2018,August
168,female,983.7321511415889,1981.6263451243221,463433,24.678467892585484,2018,September
169,male,830.775884715431,1980.4295765227678,1240964,66.08310204464173,2018,September
170,unknown,1902.2974574463792,1969.8178653155567,173487,9.23843006277278,2018,September
171,female,923.5612175094979,1981.2391791169491,448785,23.888607659620675,2018,October
172,male,808.2469756101301,1980.09701893071,1304230,69.42352968104343,2018,October
173,unknown,1770.5026344693654,1970.249216026488,125642,6.687862659335899,2018,October
174,female,876.3805412442142,1980.4175012398061,290368,23.03858833423916,2018,November
175,male,772.880848716702,1979.6487386320719,902869,71.6360866581241,2018,November
176,unknown,1766.963631216663,1970.5285020411811,67118,5.325325007636737,2018,November
177,female,857.5344540069296,1979.533868335755,223675,22.00431871953409,2018,December
178,male,746.6947049510998,1979.0862350694194,746622,73.44990924786401,2018,December
179,unknown,1890.2454986149585,1970.8075657894738,46208,4.5457720326019055,2018,December
180,female,837.1458491078882,1979.5704273205583,206028,21.299572929234035,2019,January
181,male,714.1674267324962,1978.99374389724,727130,75.1721050732616,2019,January
182,unknown,1719.7324269682674,1971.1921826013067,34129,3.52832199750436,2019,January
183,female,852.975244703015,1980.0056114627148,203512,21.564322528143226,2019,February
184,male,729.0222157779218,1979.4261284159531,703464,74.53970568289706,2019,February
185,unknown,1987.2827730635336,1971.0401436031332,36768,3.895971788959718,2019,February
186,female,931.0679249778746,1980.4111716250254,293780,22.12265429681617,2019,March
187,male,780.4874616015118,1979.7441863364231,962603,72.48734901653664,2019,March
188,unknown,2057.9986168741357,1970.5057769954035,71577,5.389996686647188,2019,March
189,female,1107.574335731825,1981.518237902684,409285,23.17458753611076,2019,April
190,male,912.1978062469277,1980.3345990442747,1218551,68.99695033220202,2019,April
191,unknown,2213.4238669733395,1970.0755254668807,138258,7.828462131687215,2019,April
192,female,1095.7320438465845,1981.62868315417,462613,24.037300935329213,2019,May
193,male,910.9593516357894,1980.4645530650907,1293779,67.22455954936264,2019,May
194,unknown,2190.58434569575,1970.0368612899965,168171,8.73813951530815,2019,May
195,female,1101.6087907547144,1982.312487087193,527577,24.822830848275828,2019,June
196,male,923.704984890373,1981.0460907949923,1399108,65.82891449488795,2019,June
197,unknown,2437.283030928354,1970.072003422503,198685,9.348254656836222,2019,June
198,female,1047.925760394758,1982.6645309673338,543928,24.93865379466169,2019,July
199,male,867.1296621277949,1981.308247756759,1441107,66.07357693309321,2019,July
200,unknown,2237.2355161736273,1970.1872427038857,196029,8.987769272245107,2019,July
201,female,1063.8460295259767,1983.09656017443,588431,25.1013128438238,2019,August
202,male,872.3549565044646,1981.6951862152612,1530272,65.27840342902384,2019,August
203,unknown,2221.079988116406,1970.1286709441692,225521,9.620283727152353,2019,August
204,female,1019.2446834136545,1982.6756782625757,626859,25.639453556382673,2019,September
205,male,868.4711641531063,1981.4246403350753,1612056,65.93545748292364,2019,September
206,unknown,2114.552787824356,1970.3282666213559,205985,8.425088960693689,2019,September
207,female,940.6652576823117,1982.23492734437,512899,24.510447186310824,2019,October
208,male,807.0470267207318,1981.2073251637173,1425934,68.14261676892515,2019,October
209,unknown,1824.9579745024066,1970.6051905815013,153740,7.34693604476403,2019,October
210,female,860.8668035354283,1981.3364579655342,351188,23.74965172299061,2019,November
211,male,753.0833290967429,1980.50592179414,1042505,70.5010725579357,2019,November
212,unknown,1770.5892136681762,1971.0790213491737,85015,5.749275719073678,2019,November
213,female,850.116521681948,1980.2336445964227,212896,22.287873870667184,2019,December
214,male,754.7740657925747,1979.757547234884,695884,72.85141487212236,2019,December
215,unknown,1882.5063751884556,1971.2258453586044,46430,4.860711257210457,2019,December
